forces,force_addedmass,force_inertia,force_drag,time,displacement,velocity,acceleration,enstrophy
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0,0.00078125,0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0,0.0015625,0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0,0.0023437500000000003,0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0,0.003125,0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0,0.0046875,0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0,0.00546875,0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0,0.0062499999999999995,0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0,0.007031249999999999,0.0,0.0,0.0,0.0
-34262.379476579685,-29862.832184545234,-4399.54729203445,0.0,0.007812499999999999,-0.003343454214163979,-0.06686908428327958,-0.6686908428327958,673918.723410201
12902.81814306843,15082.353095882143,-2179.534952813713,-96.9619229450035,0.008593749999999999,-0.011686645033202273,-0.09999473209748631,-0.3312564781420674,639587.218865613
6353.019812507866,7438.577232053603,-1085.557419545737,-145.00071526538977,0.009375,-0.022511027480462513,-0.11649291684771845,-0.16498184750232134,645500.4218340222
2512.6259110614806,3137.2069618559262,-624.5810507944459,-168.93126008993266,0.01015625,-0.03463491584148864,-0.12598485037280407,-0.09491933525085633,660724.2474459221
978.1684672475969,1397.579353106529,-419.4108858589315,-182.70337434890908,0.010937500000000001,-0.04755208310682807,-0.13235849493398444,-0.06373644561180371,674065.7740818029
272.1892474922413,603.1428905831416,-330.95364309090047,-191.95438384158345,0.011718750000000002,-0.06103939169138189,-0.1373876767570919,-0.05029181823107452,686827.3060266472
20.691101431780897,306.7092032293265,-286.01810179754557,-199.25634575791878,0.012500000000000002,-0.07499546727395227,-0.1417338348943159,-0.04346158137223988,697792.3414712262
-25.236257540908674,227.48633502755413,-252.72259256846283,-205.56835032835474,0.013281250000000003,-0.0893608536445674,-0.1455738925179867,-0.03840057623670782,705943.883637736
-94.83185971054026,137.75178305959324,-232.5836427701335,-211.14688177577005,0.014062500000000004,-0.10409493794556923,-0.14910779350204997,-0.035339009840632755,718007.5295178319
-210.13038495321706,19.59912754775112,-229.72951250096818,-216.28185706871722,0.014843750000000005,-0.11918023658475921,-0.15259817928174965,-0.034903857796996667,728726.8039343823
-227.78281871594479,1.707310096056952,-229.49012881200187,-221.35418831220522,0.015625000000000003,-0.134614384463941,-0.15608477830188627,-0.03486599020136616,741025.1179190845
-130.43553686128024,86.45566285819194,-216.891199719472,-226.42148755509427,0.016406250000000004,-0.1503876144984116,-0.15937982238752568,-0.03295044085639397,750964.2699925726
-257.7347922876785,-35.64227719589045,-222.09251509178787,-231.21134821246426,0.017187500000000005,-0.16649429262839632,-0.16275374021216896,-0.03373917824643263,764778.0629637269
-315.3156227946608,-81.37515466681964,-233.94046812784129,-236.11604830309565,0.017968750000000006,-0.18294735428853356,-0.16630749299057562,-0.035537527784066734,776631.7353167782
-225.88290776512858,7.044200406951841,-232.9271081720805,-241.28206647035503,0.018750000000000006,-0.1997550139198977,-0.16984569963670718,-0.03538206646131562,792955.0893433188
-104.87030413019379,111.8396083706437,-216.70991250083736,-246.42594865603292,0.019531250000000007,-0.216904170033185,-0.17313742262903872,-0.032917229923315514,806038.3650312364
