forces,force_addedmass,force_inertia,time,displacement,velocity,acceleration
-883.2422301427634,-154.78685244303404,-728.45537769973,-1038.7279670283262,1.0003906250000008,-7.467743140796397,-0.18035468741582364,-0.027450113037026005
-928.8945674459103,-174.42444523336982,-754.4701222125406,-1054.597389797358,1.0011718750000007,-7.485920786483016,-0.1831982263165394,-0.02843538900715746
-952.5006822240819,-172.3424088588445,-780.1582733652373,-1071.0337097795664,1.0019531250000007,-7.504387653089307,-0.18613910580930196,-0.029408794927625607
-868.3848053459152,-76.85607322676331,-791.5287321191524,-1088.0293375919232,1.0027343750000006,-7.523150777848631,-0.1891233893771713,-0.029842835678693464
-999.622477443527,-181.11901556474518,-818.5034618787814,-1105.2683683679104,1.0035156250000006,-7.542217444674143,-0.19220994713306339,-0.03086557755892083
-1020.1808631209669,-175.55245822346254,-844.6284048975051,-1123.0942277621396,1.0042968750000005,-7.561597723234792,-0.19539562407991531,-0.03185676946851928
-668.3588123357312,153.18251161982872,-821.5413239555598,-1141.487718621528,1.0050781250000005,-7.581292245566539,-0.1984948225550271,-0.03099198475111793
-1545.89438302288,-630.2308666551958,-915.663516367685,-1159.3640617549606,1.0058593750000004,-7.60131447527403,-0.20194977159479077,-0.03454949039763664
-745.5538497262023,147.8180708291837,-893.3719205553858,-1179.305624871412,1.0066406250000004,-7.621678028410278,-0.2053212911301623,-0.03371519535371512
-1001.0282560422011,-93.81482937430111,-907.2134266679014,-1198.7466787354958,1.0074218750000004,-7.64238138065223,-0.2087457537088811,-0.03424462578718822
-1073.8180085208307,-145.1086880106752,-928.7093205101557,-1218.4832326494854,1.0082031250000003,-7.663431273126682,-0.2122520957801654,-0.035063420712843005
-1646.0708458758627,-624.29094145626,-1021.7799044196023,-1238.6836774218618,1.0089843750000003,-7.684849410730277,-0.21611065629172527,-0.038585605115598616
-1436.5926175928867,-361.1061568109921,-1075.4864607818943,-1260.9247851747705,1.0097656250000002,-7.7066635896483655,-0.2201729220700443,-0.04062265778319041
-1402.7061461080996,-284.9229189310886,-1117.783227177012,-1284.3386523293564,1.0105468750000002,-7.728892030516644,-0.22439589529553577,-0.04222973225491487
-1343.2365114289964,-196.3979941613421,-1146.838517267655,-1308.6735285816815,1.0113281250000001,-7.75154830674419,-0.22872962925536872,-0.043337339598329326
-1466.8954514480058,-278.73985514191037,-1188.1555963060964,-1333.637379359684,1.012109375,-7.774645815179443,-0.23322053944969845,-0.044909101943297315
-1614.7516176994586,-371.47915539252404,-1243.272462306935,-1359.5001445301143,1.012890625,-7.798202886646081,-0.2379208898830743,-0.047003504333758425
-1596.7513741499977,-307.88204218852394,-1288.8693319614738,-1386.565571240599,1.013671875,-7.822238671097221,-0.24279479913971852,-0.04873909256644207
-1585.5186454074337,-258.4522445543425,-1327.0664008530925,-1414.62351360494,1.014453125,-7.846769130107375,-0.24781438106335474,-0.05019581923636231
-1645.9961585172605,-277.87023698059056,-1368.1259215366708,-1443.5105758259838,1.015234375,-7.871809376988775,-0.25299055656464586,-0.05176175501291138
-1302.0280050497631,57.23280404691348,-1359.260809096675,-1473.2894935828483,1.0160156249999999,-7.8973656293525005,-0.25813449070986416,-0.05143934145218292
-1695.5967318478156,-293.09129370775156,-1402.505438140065,-1502.859935951878,1.0167968749999998,-7.923444525822367,-0.26344343868747183,-0.05308947977607675
-1872.5690568468308,-409.56359500246555,-1463.0054618443648,-1533.369924846313,1.0175781249999998,-7.950065839724562,-0.26898283935644224,-0.055394006689704005
-1873.8405144705278,-358.0571062945284,-1515.7834081759981,-1565.1992378698078,1.0183593749999997,-7.977251161058639,-0.2747235873250923,-0.05740747968650052
-1920.693249035688,-352.96478821404145,-1567.7284608216476,-1598.1772286224,1.0191406249999997,-8.005020473151006,-0.28066265452225486,-0.05939067197162581
-1610.9643478846283,-38.0267294876529,-1572.937618396976,-1632.2850842400155,1.0199218749999996,-8.03338475935497,-0.28662306955702377,-0.05960415034768922
-2045.080850306785,-411.65743660623434,-1633.423413700552,-1666.4926602727764,1.0207031249999996,-8.062356632060315,-0.2928143845498757,-0.06191314992851909
-1912.7242883086933,-243.72931138988594,-1668.9949769188079,-1702.0176662042788,1.0214843749999996,-8.091954465626289,-0.29914228676959564,-0.06327902219719984
-1715.5725977979341,-40.99451439919345,-1674.578083398742,-1738.3107096567896,1.0222656249999995,-8.122186237049666,-0.30549314169796554,-0.06350854928369913
-1768.2975106045587,-82.09087362715105,-1686.2066369774057,-1774.7107738767904,1.0230468749999995,-8.153055389957835,-0.31188991646540426,-0.0639677476743874
-2013.116500719439,-285.3679509496577,-1727.748549769781,-1811.3509492440508,1.0238281249999994,-8.184572194216527,-0.31844616870842335,-0.0655625224301911
-2164.1377490090135,-380.87024365101934,-1783.2675053579908,-1848.890163538244,1.0246093749999994,-8.216755255853617,-0.3252150640333711,-0.06768895324947755
-1859.3255271309126,-66.77257855999352,-1792.5529485709199,-1887.6360642621642,1.0253906249999993,-8.249617069169524,-0.3320212022847629,-0.06806138251391802
-2220.628147554803,-373.771459026609,-1846.8566885281957,-1926.5696793614259,1.0261718749999993,-8.283169909520165,-0.33903560472806066,-0.07014402443297779
-2212.353298299313,-319.2715754170483,-1893.0817228822655,-1966.6827818787347,1.0269531249999992,-8.317433075841564,-0.3462277216999035,-0.0719211697184285
-1617.6641752330875,239.76513882195653,-1857.4293140550426,-2007.7970425304866,1.0277343749999992,-8.352408787875062,-0.35328651897007035,-0.07058797270166817
-2180.9138640635756,-282.73735941518817,-1898.176504648386,-2048.1082980789542,1.0285156249999992,-8.388098231965627,-0.3605023628412355,-0.07215843871165162
-2485.427352049601,-512.9825746629346,-1972.444777386666,-2089.3000356996554,1.0292968749999991,-8.42452349180555,-0.3680028339572461,-0.07500471116010621
-2254.7914250657664,-246.97076453291135,-2007.8206605328578,-2132.110560321623,1.030078124999999,-8.461705642747942,-0.3756401848905896,-0.07637350933343484
-2080.647376789622,-64.12159353025275,-2016.5257832593702,-2175.6825879854327,1.030859374999999,-8.4996533037076,-0.3833130343025802,-0.07672849411990601
-2001.338741191494,12.709438633325954,-2014.0481798248206,-2219.4283763646654,1.031640624999999,-8.538367898205856,-0.39097885566254537,-0.07665821359965198
-2378.139328614133,-318.51788604990463,-2059.621442564229,-2263.1016085183996,1.032421874999999,-8.577857871286394,-0.39882060594823315,-0.07841750285687775
-1914.9991487442144,125.75430384178492,-2040.7534525860015,-2307.7610578852923,1.033203124999999,-8.618128550566881,-0.4065929796614981,-0.07772373713264971
