forces,force_addedmass,force_inertia,force_drag,time,displacement,velocity,acceleration,enstrophy
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0,0.003125,0.0,0.0,0.0,0.0
-0.0,0.0,0.0,0.0,0.00625,0.0,0.0,0.0,0.0
-1770.0810146729505,-1543.1194585989037,-226.96155607404683,0.0,0.009375000000000001,-0.0027594698287828584,-0.05518939657565716,-0.5518939657565716,6973.727975068742
-136.0061774475391,79.36189036625797,-215.368067813797,-5.002649139382522,0.0125,-0.010896491837205351,-0.10755104359279269,-0.5236164701713552,13953.429463045864
406.27996354425096,542.4879715069569,-136.20800796270606,-9.750638109128994,0.015625,-0.02330710167571705,-0.14066115317744127,-0.33110109584648584,16151.250813599601
176.23769447875492,272.8303974815518,-96.59270300279694,-12.754616877319407,0.01875,-0.03854702607533006,-0.164137334814819,-0.23476181637377744,18798.88141939101
46.91742605709427,125.40532816123519,-78.48790210414093,-14.885889186343109,0.021875,-0.05591439351356922,-0.18321001394996408,-0.1907267913514508,21702.67221806128
-8.9094289619828,60.84811838259669,-69.75754734457956,-16.618388669849583,0.024999999999999998,-0.0750828133066349,-0.2001583819113493,-0.16948367961385202,24605.55828811236
-23.78639525075993,40.234223455496256,-64.0206187062562,-18.158627958421338,0.028124999999999997,-0.09587625285158427,-0.21571040898763802,-0.15552027076288724,27275.410132567158
-3.8401791053616217,52.70467738477482,-56.54485649013647,-19.572508203582785,0.031249999999999997,-0.11813398911366271,-0.2294443162539307,-0.13733907266292672,29502.160772636642
-4.4049195947766,45.69651843447985,-50.10143802925645,-20.821640228960074,0.034374999999999996,-0.1416867783523294,-0.2416114685194031,-0.12167152265472417,31151.524461551304
-44.86634613333844,4.596717390008666,-49.46306352334716,-21.928718260497547,0.0375,-0.16644845104327813,-0.25362198529957164,-0.12010516780168534,32548.840671194594
-38.77464219248422,9.385406812695777,-48.16004900517995,-23.021642927075547,0.040625,-0.19239528333910494,-0.2653146606169644,-0.11692675317392758,33981.68680484908
-79.54571729940672,-27.55931970810695,-51.98639759129977,-24.0857381629538,0.043750000000000004,-0.21955776108663977,-0.27793489433373214,-0.12620233716767718,37269.87911336047
-29.631967026099264,19.651708928997248,-49.2836759550965,-25.234034252323895,0.04687500000000001,-0.24794939468536176,-0.2898977776407077,-0.11962883306975534,39754.09844516554
